dataset	regnet	knownmodules	F1rp	F1rprr	F1rr	F1ss	consensus	fmeasure_flowcap	fmeasure_wiwie	precision	recall	recovery	relevance	sensitivity	specificity	vmeasure_wiwie	F1rp_std	F1rprr_std	F1rr_std	F1ss_std	consensus_std	fmeasure_flowcap_std	fmeasure_wiwie_std	precision_std	recall_std	recovery_std	relevance_std	sensitivity_std	specificity_std	vmeasure_wiwie_std
ecoli_colombos	ecoli_regulondb	ap1	0.0052575511	0.099383776	0.07570766820000001	0.1446795713	0.049013254900000004	0.10768282720000001	0.0970402636	0.0054469314000000005	0.0050809587	0.0796331564	0.0721518315	0.1581799743	0.13345078529999999	0.3559485593	0.0002506451	0.0012597871	0.0016828635	0.0009214796000000001	0.0020146186	0.0030640456	0.006764780600000001	0.0002455278	0.0002544336	0.0015611256	0.0017740814000000004	0.0032330162	0.0040972876	0.011253656499999999
ecoli_colombos	ecoli_regulondb	ap2	0.0088086372	0.1356892837	0.11928930859999999	0.15731738439999998	0.0739940012	0.08711176150000001	0.1019607843	0.006968690600000001	0.0119687527	0.1341175918	0.1074134802	0.16005335240000002	0.15467338220000001	0.52240132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ecoli_colombos	ecoli_regulondb	ap3	0.0053570884	0.0999992472	0.0740296359	0.15464987460000001	0.04621299139999999	0.10412602369999999	0.0910175382	0.0058474257	0.0049437846	0.0775700866	0.0707983262	0.18253251059999998	0.134249578	0.3437399404	0.00021865580000000008	0.0010318442	0.002703439	0.0066037081	0.0031979829999999997	0.0014250423000000002	0.0040813405	0.0001641484	0.0002554528	0.0028898946000000003	0.0025378394	0.0033958828	0.0080653467	0.0153741002
ecoli_colombos	ecoli_regulondb	mcl1	0.0037220811	0.0962606015	0.0703195926	0.1525609622	0.0538227893	0.0959820796	0.072497985	0.002709985	0.0059413167	0.0708814029	0.0697745163	0.1228651695	0.2014003015	0.3492606085	9.21916341981e-05	0.00041784900000000003	0.0006800046000000001	0.0013851148999999999	0.0009434921	0.0009259513	0.0011958819	6.25591696271e-05	0.00017624830000000002	0.0011623505	0.00044982629999999995	0.0026210261	0.004933182899999999	0.0023836815
ecoli_colombos	ecoli_regulondb	mcl2	0.0030812458	0.1006845636	0.079600308	0.1371104486	0.0558985082	0.0927807812	0.0820896173	0.0022597623	0.0048411222	0.0847871226	0.07502509019999999	0.1190279165	0.1617293679	0.4424827488000001	0.00021387130000000002	0.0012083382	0.0005020089	0.0052786036	0.0038793999	0.0030809997	0.007114190500000002	0.0001569652	0.0003355056	0.0006205843	0.0011195233	0.0052760674	0.005714011	0.008310275
ecoli_colombos	ecoli_regulondb	mcl3	0.0036590492	0.0955819217	0.0691712574	0.15463178619999998	0.0545735475	0.0965986682	0.0690768103	0.0026829403	0.005752016899999999	0.0695504509	0.0688026793	0.1256744797	0.20099924760000001	0.34005825240000004	5.43211343563e-05	0.0003413321	0.0005074127	0.0007485413	0.0005709869	0.0009133562	0.0028926090999999996	4.08471437993e-05	9.61279157068e-05	0.0006513119999999999	0.0007582005000000001	0.0015287028	0.0028089427000000003	0.009662577700000001
ecoli_colombos	ecoli_regulondb	minimal	0.011885695874921927	0.1405686752372352	0.09148906780695247	0.3035064718673815	0.07891901088728648	0.28480769197250916	0.08703247760226374	0.012252114086139495	0.01156615175412727	0.09233077753029584	0.09068825087773431	0.30603069040897024	0.30130498334758093	0.12821755392469264	0.0007386435639336854	0.002102182316858342	0.001723818821825222	0.007707490052425425	0.002062376321529548	0.006163702882298581	0.004719837304869721	0.0010008872047115277	0.0006741573083152041	0.0020819033298394595	0.0020029552202774983	0.008409990759909475	0.011646890028706948	0.0038454565742765392
ecoli_colombos	ecoli_regulondb	strict	0.002049852	0.0821721013	0.0663932071	0.1079636982	0.0292437135	0.070273303	0.07222659769999999	0.0014901338	0.0033524178	0.09671874890000001	0.0510593055	0.08094402099999999	0.1622470227	0.5377825759	0.0004923109	0.0018254603	0.0028304626	0.0012289364	0.001854664	0.0017477419	0.0023481043	0.0004435284	0.0003966061	0.0158307408	0.0012260833	0.0011896111	0.0057708801	0.022714903199999997
ecoli_colombos	ecoli_regulondb	tc1	0.0061116531	0.10567058439999999	0.0713431906	0.2046296752	0.050850531399999996	0.1154354037	0.08998519529999999	0.0055843831000000005	0.0067610255	0.0756556759	0.06750105049999999	0.1975628496	0.21267343379999998	0.21612379969999998	0.0010954692999999998	0.0063219249	0.005586876	0.0084004056	0.0060089477	0.0107961693	0.0099034854	0.0010390627000000001	0.0011872478	0.0054930906	0.0056403374	0.014511643000000001	0.0022315366	0.0180312775
ecoli_colombos	ecoli_regulondb	tc2	0.013423413700000001	0.1203998235	0.0760792531	0.2892008047	0.0673412352	0.3037065014	0.109574605	0.012143240100000001	0.0150083574	0.0756278901	0.0765678378	0.2585910318	0.3280491285	0.1055858392	0.001189713	0.0013189056	0.001772254	0.010838753999999999	0.0024314613	0.013863186100000001	0.0127431072	0.0009899828	0.0014682638	0.0007006511	0.0028867311	0.010860166999999999	0.0104322804	0.0057152719999999995
ecoli_colombos	ecoli_regulondb	tc3	0.0073357401	0.1096324735	0.0760372656	0.1975052344	0.056690366	0.1233915585	0.10072604939999999	0.006632054300000001	0.0082070292	0.0805582391	0.0719987884	0.1842816906	0.21289894339999998	0.23896226739999998	0.001266275	0.0060232162	0.0059471629000000005	0.0023618226999999998	0.0067207985	0.010942446599999999	0.0113925647	0.0011747197	0.0013700754	0.0059743769	0.0058894892	0.0052098339	0.0013317767	0.020391296399999998
ecoli_colombos_operon	ecoli_regulondb_operon	ap1	0.007848385268630003	0.11802183130919368	0.08992797594636248	0.17175676376614046	0.05562787683666732	0.10267426736076952	0.07629155882397681	0.008583166029915195	0.0072574635868402565	0.09835140731795408	0.08284466030100113	0.20712497840873506	0.14691662666630134	0.3087056257355976	0.0008811410486766883	0.008962219891918968	0.005820622186697985	0.01668675690535418	0.008424655728349826	0.007292522712212453	0.007252930462224288	0.0005205298078614499	0.0011216676753572383	0.007302714711726137	0.004694428403759584	0.012753176075911338	0.017913351974500055	0.020561446771087986
ecoli_colombos_operon	ecoli_regulondb_operon	ap2	0.017472469281516592	0.14692944841529634	0.1376295159553622	0.1586498987711161	0.11531475665462596	0.0718250354374088	0.10357782158475518	0.013824291067309485	0.023745329679673112	0.14331142108919884	0.1324276848786653	0.20662177328844	0.13076587099575604	0.3675828454591405	0.002014017246503394	0.0054173691044303385	0.002611671280677577	0.015189477532288276	0.014647152935408424	0.005117302647119317	0.010335478986158627	0.0014697147859060893	0.0030936503143322845	0.0006356572144221442	0.004324770079662821	0.007680695018575744	0.02176199775318832	0.0197091020998222
ecoli_colombos_operon	ecoli_regulondb_operon	ap3	0.008678687717279017	0.12353569123945385	0.0948864102247906	0.17696809049746226	0.059584377236199124	0.11509811724381452	0.10145846544071024	0.009457514005438818	0.008018374563644074	0.10060317636797897	0.08978441896510951	0.20920411122840268	0.15334009217052375	0.3397316497372405	0.00021865580000000008	2.9084088592187562e-09	0.002703439	0.0066037081	0.0031979829999999997	0.0014250423000000002	1.4542044296093781e-09	1.8177555370117226e-10	2.404664547621841e-10	1.4542044296093781e-09	0.0025378394	2.9084088592187562e-09	4.5985981810716365e-09	7.1241176684760675e-09
ecoli_colombos_operon	ecoli_regulondb_operon	mcl1	0.005374898614238568	0.11400977487774044	0.08442805548532936	0.1755016703930868	0.07634628631059745	0.11285474997685968	0.08375209380234505	0.004056992290342323	0.007961021489088326	0.08817073640360328	0.0809901757781116	0.14470184771655364	0.22295842391123705	0.38982166995521467	9.21916341981e-05	2.518755956675161e-09	0.0006800046000000001	0.0013851148999999999	0.0009434921	0.0009259513	0.0011958819	7.87111236460988e-11	2.570694533520766e-10	0.0011623505	0.00044982629999999995	2.0565556268166127e-09	0.0	5.8168177184375124e-09
ecoli_colombos_operon	ecoli_regulondb_operon	mcl2	0.0056551003921618105	0.12592816442299234	0.10238088645889064	0.1635423945438084	0.05794138042879859	0.10319448838784816	0.09256661991584852	0.0041202638168387285	0.009012245694740741	0.12384263399604167	0.08725902492501449	0.12870785288700046	0.22422976436951594	0.5679793565703635	0.00021387130000000002	0.0012083382	0.0005020089	4.1131112536332255e-09	0.0038793999	0.0030809997	0.007114190500000002	0.0001569652	1.8177555370117226e-10	1.4542044296093781e-09	0.0	0.0052760674	0.0	0.0
